group_name	lca	member number	adviceline_group
Arun & Chichester	Arun & Chichester Citizens Advice	85/0050	West Sussex
Ash	Ash Citizens Advice	75/0058	Ash
Ashfield Debt	Ashfield Debt	45/0033-1	None
Barking & Dagenham	Barking & Dagenham Citizens Advice Bureau	15/0037	Barking & Dagenham
Barnet	Barnet Citizens Advice	15/0016	West & South West London
Barnsley	Barnsley Citizens Advice	25/0019	South Yorkshire
Barrow	Barrow-In-Furness Citizens Advice	30/0022	Cumbria
Basingstoke	Basingstoke Citizens Advice	85/0024	Single Queue 45
Bassetlaw	Bassetlaw Citizens Advice	45/0001	Nottinghamshire
BANES	Bath and North East Somerset Citizens Advice	90/0016	BANES
"Bedworth, Rugby & Nuneaton"	Bedworth Rugby and Nuneaton Citizens Advice	50/0035	BRANCA
Bexley Borough	Bexley Borough Citizens Advice Bureau Ltd	15/0045	Bexley Borough
Blackpool	Blackpool Citizens Advice	30/0012	Single queue 25
Braintree	Braintree Halstead & Witham Citizens Advice Bureau	65/0051	Braintree Halstead & Witham
Bridgend	Bridgend County Borough Citizens Advice	60/0021	Wales
Bridport	Bridport and District Citizens Advice	85/0054	Dorset
Brighton and Hove	Brighton and Hove Citizens Advice	75/0012	Brighton and Hove
Bromley	Bromley Citizens Advice Bureau Ltd (BromleyAL)	17/0009|17/0009-1	Bromley
Broxbourne (Cheshunt)	Broxbourne (Cheshunt) Citizens Advice	70/0025	Hertfordshire
Burnley & Pendle	Burnley and Pendle Citizens Advice Bureau	30/0015	Burnley & Pendle
Bury|Bolton	Bury & Bolton Citizens Advice	35/0039	Greater Manchester
Cylch Conwy	CAB Cylch Conwy District CAB	55/0007	Wales
Caerphilly National Backup Centre	Caerphilly National Backup Centre	60/0017-1	Caerphilly National Backup Centre
Calderdale District	Calderdale District Citizens Advice Bureau	25/0015	Calderdale
Cambridge	Cambridge and District Citizens Advice Bureau	65/0033	Cambridge
Camden	Camden Citizens Advice Bureau	15/0010	Camden
Ynys Mon	Canolfan Cynghori Ynys Mon Citizens Advice	55/0008	Wales
Canterbury	Canterbury Citizens Advice	75/0001	Mid Coastal Kent
Cardiff	Cardiff and Vale Citizens Advice	60/0052	Wales
Cardiff Remote Service	Cardiff Remote Service	60/0052-1	Cardiff Remote Service
Carmarthenshire	Carmarthenshire Citizens Advice	60/0045	Wales
Caterham & Warlingham	Caterham & Warlingham Citizens Advice	75/0041	East Surrey
Central & East Northamptonshire	Central & East Northamptonshire Citizens Advice	70/0031	Northamptonshire
Chapeltown	Chapeltown Citizens Advice	25/0001	Leeds
Charnwood	Charnwood Citizens Advice	45/0016	Charnwood
Cheshire East	Cheshire East Citizens Advice	40/0031	Cheshire East
Chesterfield	Chesterfield Citizens Advice	45/0009	Chesterfield
Hastings 1066	Citizens Advice 1066	75/0037	East Sussex
Allerdale	Citizens Advice Allerdale	30/0018	Allerdale
Ashfield	Citizens Advice Ashfield	45/0033	Nottinghamshire
Bracknell|Maidenhead & Windsor|East Berkshire	Citizens Advice East Berkshire	85/0008|85/0017	Hampshire
Birmingham	Citizens Advice Birmingham	50/0001	Birmingham
Bournemouth & Poole	Citizens Advice Bournemouth Christchurch and Poole	85/0053	Single queue 25
Bradford	Citizens Advice Bradford and Airedale and Bradford Law Centre	25/0030	Bradford
Brent	Citizens Advice Brent	15/0027	Brent
Bristol	Citizens Advice Bristol	90/0011	Bristol
Bromsgrove & Redditch	Citizens Advice Bromsgrove & Redditch	50/0036	Worcestershire
Broxtowe	Citizens Advice Broxtowe	45/0002	Nottinghamshire
Aylesbury Vale|Chiltern|High Wycombe	Citizens Advice Buckinghamshire	70/0010|70/0001|70/0013	Buckinghamshire
Caerphilly Remote Service	Caerphilly Remote Service	60/0017-2	Caerphilly Remote Service
Caerphilly	Citizens Advice Caerphilly Blaenau Gwent	60/0017	Caerphilly
Carlisle and Eden	Citizens Advice Carlisle and Eden	30/0027	Single queue 25
Central Dorset	Citizens Advice Central Dorset	85/0056	Dorset
Cheadle	Citizens Advice Cheadle	50/0070	Single queue 25
Chelmsford	Citizens Advice Chelmsford	65/0022	Hertfordshire
Cheshire North	Citizens Advice Cheshire North	35/0022	Cheshire East
Cheshire West	Citizens Advice Cheshire West	40/0016	Cheshire West
Colchester	Citizens Advice Colchester	65/0026	Essex
Cornwall	Citizens Advice Cornwall	95/0006	Cornwall
County Durham	Citizens Advice County Durham	95/0033	Single queue 25
Craven & Harrogate	Citizens Advice Craven and Harrogate Districts	25/0024	Single queue 80
Dacorum District	Citizens Advice Dacorum	70/0015	Hertfordshire
Darlington	Citizens Advice Darlington and Redcar & Cleveland	20/0015	Darlington
Daventry and District	Citizens Advice Daventry and District	70/0037	Northamptonshire
Denbighshire	Citizens Advice Denbighshire	55/0011	Wales
Derbyshire Districts	Citizens Advice Derbyshire Districts	45/0013	Derbyshire
Doncaster Borough	Citizens Advice Doncaster Borough	25/0044	Doncaster Borough
WOLVERHAMPTON	Citizens Advice Dudley and Wolverhampton	50/0031	Black Country
East Devon	Citizens Advice East Devon	95/0003	Single Queue 60
East Hampshire	Citizens Advice East Hampshire Limited	85/0018	Single queue 45
East Herts	Citizens Advice East Herts	70/0027	Hertfordshire
Elmbridge	Citizens Advice Elmbridge (West)	75/0056	East Surrey
Esher & District	Citizens Advice Esher & District	75/0045	Esher & District
Fylde	Citizens Advice Fylde	30/0002	West Lancashire
Gateshead	Citizens Advice Gateshead	20/0003	Single queue 45
Gosport	Citizens Advice Gosport	85/0028	Single queue 25
Guildford	Citizens Advice Guildford	75/0048	Guildford
Halton	Citizens Advice Halton	40/0012	Halton
Hammersmith & Fulham	Citizens Advice Hammersmith & Fulham	17/0016	West & South West London
Harlow	Citizens Advice Harlow	65/0029	Essex
Hart District	Citizens Advice Hart District Ltd	85/0032	Single queue 60
Havant & District	Citizens Advice Havant	85/0015	Hampshire
Hillingdon	Citizens Advice Hillingdon	15/0047	Hillingdon
East Dorset|Purbeck	Citizens Advice in East Dorset and Purbeck	85/0063|85/0059	Dorset
North & West Kent	Citizens Advice in North & West Kent	75/0024	Single Queue 60
CAWS	Citizens Advice in West Sussex (NorthSouthEast)	85/0048	West Sussex
Lancashire West	Citizens Advice Lancashire West	30/0001	West Lancashire
Leeds	Citizens Advice Leeds	25/0010	Leeds
Leighton Linslade	Citizens Advice Leighton Linslade	70/0018	Leighton Linslade
Lincoln & District	Citizens Advice Lincoln & District	45/0024	Single Queue 25
Lindsey	Citizens Advice Lindsey	45/0014	Single queue 45
Liverpool Debt	Liverpool Debt	95/0035-1	Liverpool
Liverpool	Citizens Advice Liverpool	95/0035	Liverpool
Manchester District	Citizens Advice Manchester	35/0012	Manchester
ManNat	Manchester (National overflow)	35/0012-1	Manchester
Medway	Citizens Advice Medway	75/0006	Medway
Merton & Lambeth	Citizens Advice Merton & Lambeth	17/0007	West & South West London
Mid-Lincolnshire	Citizens Advice Mid Lincolnshire	45/0034	Single queue 25
South Derbyshire & City	Citizens Advice Mid Mercia	45/0036	Mid Mercia
